Q,A
 요소 등을 포함하고 있다, 요소 등을 포함하고 있습니다
대한 질문을 스스로 던져야 한다고 주장한다,대한 질문을 스스로 던져야 한다고 주장합니다
해야 한다는 주장도 있다,해야 한다는 주장도 있습니다
주어진 경우이다,주어진 경우입니다
 있다, 있습니다
 세 개가 있다, 세 개가 있습니다
가 자살의도를 품고 있었다,가 자살의도를 품고 있었습니다
 발견했다, 발견했습니다
3월 초 사이에 모두 전사하였다,3월 초 사이에 모두 전사하였습니다
여한다,여합니다
체를 특정하는 것부터가 용이하지 않다,체를 특정하는 것부터가 용이하지 않습니다
여 명이 필요하기 때문이다,여 명이 필요하기 때문입니다
구의 결과 해석에 있어 주의를 해야한다,구의 결과 해석에 있어 주의를 해야합니다
바로크 리피에노 협주곡 유형으로 볼 수 있다,바로크 리피에노 협주곡 유형으로 볼 수 있습니다
 말라는 것이 선생의 지론이었다, 말라는 것이 선생의 지론이었습니다
국민 포털을 통해서 국민제안을 접수하고 있다,국민 포털을 통해서 국민제안을 접수하고 있습니다
 사람에게 더 쉽게 공감하도록 만든다, 사람에게 더 쉽게 공감하도록 만듭니다
결단할 기회가 있었다,결단할 기회가 있었습니다
하지 못한다,하지 못합니다
법에 규정된 순서대로 정리하면 다음과 같다,법에 규정된 순서대로 정리하면 다음과 같습니다
 행동 이들을 향해 조롱과 조소가 쏟아진다, 행동 이들을 향해 조롱과 조소가 쏟아집니다
대한 정서적 이미지를 제고시킬 수 있다,대한 정서적 이미지를 제고시킬 수 있습니다
중심으로 비교하여 고찰해 보고자 한다,중심으로 비교하여 고찰해 보고자 합니다
 명창 중 한사람으로 알려져 있다, 명창 중 한사람으로 알려져 있습니다
요한 경쟁법적 쟁점을 야기하기도 한다,요한 경쟁법적 쟁점을 야기하기도 합니다
고시 난이도가 쉬운 것으로 인식하고 있었다,고시 난이도가 쉬운 것으로 인식하고 있었습니다
히 검토한다,히 검토합니다
다,습니다
하나가 교원일 것이다,하나가 교원일 것입니다
여 피해자가 설치한 장소에서 이루어지고 있다,여 피해자가 설치한 장소에서 이루어지고 있습니다
을 지적하면서 이 글을 끝맺을 것이다,을 지적하면서 이 글을 끝맺을 것입니다
대표적이다,대표적입니다
주가 소외로 기재되어있다,주가 소외로 기재되어있습니다
 이후의 로그가격은 다음과 같다, 이후의 로그가격은 다음과 같습니다
 두었다, 두었습니다
범위는 반드시 명확히 확정해야 한다고 했다,범위는 반드시 명확히 확정해야 한다고 했습니다
화할 수 있다,화할 수 있습니다
에 정의 영향을 미친다,에 정의 영향을 미칩니다
이라는 것이다,이라는 것입니다
 실현되기 전 교육적 담론화 된다, 실현되기 전 교육적 담론화 됩니다
신용 갭이 장기간 경보단계에 있다,신용 갭이 장기간 경보단계에 있습니다
 일반적으로는 다른 증거에 비교하고 있다, 일반적으로는 다른 증거에 비교하고 있습니다
친권에 근거를 두고 있다,친권에 근거를 두고 있습니다
전제되는 것이다,전제되는 것입니다
는 범위 내에서 매년 조정되고 있다,는 범위 내에서 매년 조정되고 있습니다
인다,입니다
될 수 있을 터다,될 수 있을 터입니다
년원 송치가 줄어들고 있다는 것이다,년원 송치가 줄어들고 있다는 것입니다
개에서 찾아져야 한다,개에서 찾아져야 합니다
촉진할 것이라는 AAA의 주장과 일치한다,촉진할 것이라는 AAA의 주장과 일치합니다
 수 있는 자유를 의미한다고 하였다, 수 있는 자유를 의미한다고 하였습니다
하고 측정하였다,하고 측정하였습니다
음 요소들을 고려해야 한다,음 요소들을 고려해야 합니다
는 과정이 달랐다는 점이다,는 과정이 달랐다는 점입니다
 위해 종종 시그마 기호를 사용한다, 위해 종종 시그마 기호를 사용합니다
할 수 있는 기회였다,할 수 있는 기회였습니다
 발전된 것은 문화오락시장의 발전이었다, 발전된 것은 문화오락시장의 발전이었습니다
로 가입이 의무화되어 있다,로 가입이 의무화되어 있습니다
는 하지 못했다,는 하지 못했습니다
대한 광고는 쉽게 찾아보기 어렵다,대한 광고는 쉽게 찾아보기 어렵습니다
성되지 않는다,성되지 않습니다
하는 그레샴의 법칙이 성립한다,하는 그레샴의 법칙이 성립합니다
 위험 때문에 주저할 수 있다, 위험 때문에 주저할 수 있습니다
 나타난다, 나타났습니다
 알려져 있다, 알려져 있습니다
하는데 결정적인 조력을 한다,하는데 결정적인 조력을 합니다
백년지대계라고 한다,백년지대계라고 합니다
 수 있다, 수 있습니다
현상 해결해야 할 문제 등에 관한 것이다,현상 해결해야 할 문제 등에 관한 것입니다
 면에서 구성 형식상 복합과 같은 것이다, 면에서 구성 형식상 복합과 같은 것입니다
표 1에 나타난 것과 같다,표 1에 나타난 것과 같습니다
서 작용하는 강 력이다,서 작용하는 강 력입니다
은 다음과 같은 것이었다,은 다음과 같은 것이었습니다
 발견된 국제법이다, 발견된 국제법입니다
대한 의문이 발생한다,대한 의문이 발생합니다
불과하다,불과합니다
잡성과 이질성에 기인한다,잡성과 이질성에 기인합니다
 재산의 분할을 명하여야 했다, 재산의 분할을 명하여야 했습니다
쉽게 기각된다,쉽게 기각됩니다
자리 정책은 한계를 가질 수밖에 없었다,자리 정책은 한계를 가질 수밖에 없었습니다
 때문에 공정한 알고리즘을 신뢰한다, 때문에 공정한 알고리즘을 신뢰합니다
 판각 판화에서 이미 등장하고 있는 것이다, 판각 판화에서 이미 등장하고 있는 것입니다
는데 그 구체적인 이유는 아래와 같다,는데 그 구체적인 이유는 아래와 같습니다
학력 그룹의 고용이 연평균 13 증가한다,학력 그룹의 고용이 연평균 13 증가합니다
사람들의 생각이나 언어에 대해서는 무관심했다,사람들의 생각이나 언어에 대해서는 무관심했습니다
직진성과 두 직선의 평행성이 그대로 유지된다,직진성과 두 직선의 평행성이 그대로 유지됩니다
 특정 계파의 주장은 아닐 것이다, 특정 계파의 주장은 아닐 것입니다
육이 이루어졌으면 한다,육이 이루어졌으면 합니다
에도 여러 가지가 있다,에도 여러 가지가 있습니다
을 거머쥐기 위해 노력하였다, 거머쥐기 위해 노력하였습니다
 막을 수 있다, 막을 수 있습니다
 그대로 레인의 거실 위로 떨어져 내린다, 그대로 레인의 거실 위로 떨어져 내립니다
을 시키기 위해서는 수량 환산이 필요하다,을 시키기 위해서는 수량 환산이 필요합니다
이 넘치고 있다,이 넘치고 있습니다
매우 관련이 많다,매우 관련이 많습니다
시인 1762년경 조성이 확실하다,시인 1762년경 조성이 확실합니다
는 것은 불합리한다,는 것은 불합리합니다
음의 상태에 이르는 것은 사실상 불가능하다,음의 상태에 이르는 것은 사실상 불가능합니다
보다 작게 보고하고 있다,보다 작게 보고하고 있습니다
시지에 메시지 번호를 포함한다,시지에 메시지 번호를 포함합니다
 위한 규칙을 일컫는다고 할 수 있다, 위한 규칙을 일컫는다고 할 수 있습니다
 고려해 볼 수 있다, 고려해 볼 수 있습니다
간 형상과 가면은 정면성을 가지고 있다,간 형상과 가면은 정면성을 가지고 있습니다
는 성격 문제에서 시작된 경로이다,는 성격 문제에서 시작된 경로입니다
 주관적 정당화 요소 불요설이 등장한 것이다, 주관적 정당화 요소 불요설이 등장한 것입니다
에서 화재 보험이 발전하는 시발점이 되었다,에서 화재 보험이 발전하는 시발점이 되었습니다
해지고 있다는 방증일 터이다,해지고 있다는 방증일 터입니다
 변경된 후속 조치였다, 변경된 후속 조치였습니다
원금 손실이 가능하다,원금 손실이 가능합니다
승은 기대하기 어렵기 때문이다,승은 기대하기 어렵기 때문입니다
안한다,안합니다
 찾으려고 노력할 것이다, 찾으려고 노력할 것입니다
인을 활용한 바이오 잉크를 개발했다,인을 활용한 바이오 잉크를 개발했습니다
산세라고 불리는 부유세가 있기 때문이다,산세라고 불리는 부유세가 있기 때문입니다
리의 세외수입의 발전 방향을 찾을 수 있다,리의 세외수입의 발전 방향을 찾을 수 있습니다
얻은 것이 과연 진정한 자유인가,얻은 것이 과연 진정한 자유인가
에는 아무도 없었다,에는 아무도 없었습니다
전 및 정체성 형성의 핵심 요소로 인식한다,전 및 정체성 형성의 핵심 요소로 인식합니다
기관의 참여 의지는 상대적으로 높았다,기관의 참여 의지는 상대적으로 높았습니다
 설명을 생략한다, 설명을 생략합니다
간접으로 참가할 수 있도록 허용하고 있다,간접으로 참가할 수 있도록 허용하고 있습니다
다,습니다
을 간략하게 소개하였다,을 간략하게 소개하였습니다
은 중요하다,은 중요합니다
었다는 생각이 잘못되었음을 보여준다,었습니다는 생각이 잘못되었음을 보여줍니다
가 수익자인 경우에 조정권한의 행사를 금한다,가 수익자인 경우에 조정권한의 행사를 금합니다
국도 예외가 아니다,국도 예외가 아닙니다
작용하고 있다,작용하고 있습니다
로 나타났다,로 나타났습니다
대사업에 소요된 필요경비는 공제할 수 있다,대사업에 소요된 필요경비는 공제할 수 있습니다
리랑적 의미를 가진다,리랑적 의미를 가집니다
무용시장이 도출되었다,무용시장이 도출되었습니다
 뚜렷이 나타나고 있다, 뚜렷이 나타나고 있습니다
비 슬러지를 사용할 수 있다,비 슬러지를 사용할 수 있습니다
 비예측성을 심화시키기도 한다, 비예측성을 심화시키기도 합니다
킬로그램이라는 뜻이다,킬로그램이라는 뜻입니다
규정을 둘 수 있을 것이다,규정을 둘 수 있을 것입니다
의 수는 소수이다,의 수는 소수입니다
적 틀을 제공하고 있다,적 틀을 제공하고 있습니다
부 세액공제 규정에 의해 이루어지고 있다,부 세액공제 규정에 의해 이루어지고 있습니다
가설과 함께 시작된다,가설과 함께 시작됩니다
않는다는 것이다,않는다는 것입니다
 모두 고려한다, 모두 고려합니다
관점과 사회 비교적 관점에서 이해할 수 있다,관점과 사회 비교적 관점에서 이해할 수 있습니다
 것이 있는 가에 대해서 살펴보고자 한다, 것이 있는 가에 대해서 살펴보고자 합니다
